date,revenue,customers,churn,category,channel
2026-05-04,2150.8429431373183,35,0,Sports,Retail
2026-05-05,2086.173916549193,37,0,Home,Retail
2026-05-06,4843.282993132482,75,0,Home,Retail
2026-05-07,2306.9169145961014,42,0,Electronics,Online
2026-05-08,2676.98178350312,45,0,Beauty,Retail
2026-05-09,2860.5828159540065,42,0,Sports,Retail
2026-05-10,3826.6546030578957,40,0,Beauty,Partner
2026-05-11,2996.2023182107023,51,0,Electronics,Partner
2026-05-12,5097.907453347797,52,0,Home,Retail
2026-05-13,5894.939778753884,68,0,Sports,Online
2026-05-14,4256.760629874992,65,0,Electronics,Online
2026-05-15,2970.6559560444744,56,0,Electronics,Retail
2026-05-16,2732.5991207675943,40,0,Sports,Partner
2026-05-17,2148.621753309325,35,0,Beauty,Partner
2026-05-18,5089.932639670592,66,0,Home,Retail
2026-05-19,3875.1033645600633,70,0,Electronics,Partner
2026-05-20,7751.8556474756615,73,0,Beauty,Partner
2026-05-21,4517.031491609634,35,0,Sports,Online
2026-05-22,4503.557767572844,44,0,Beauty,Retail
2026-05-23,6158.533130329962,65,0,Home,Online
2026-05-24,5352.646445141345,52,0,Beauty,Partner
2026-05-25,4445.968587338246,52,0,Sports,Online
2026-05-26,5399.22849931199,63,0,Sports,Retail
2026-05-27,5451.471595417246,55,0,Sports,Online
2026-05-28,4601.037290322991,55,0,Sports,Retail
2026-05-29,4096.422810990905,44,0,Electronics,Retail
2026-05-30,3308.1709596581045,41,0,Home,Retail
2026-05-31,2659.797371550829,44,0,Sports,Partner
2026-06-01,3024.241213254029,40,0,Sports,Retail
2026-06-02,6365.011445917624,75,1,Electronics,Online
2026-06-03,4760.272410775557,75,0,Home,Partner
2026-06-04,3702.6797056594087,40,0,Sports,Online
2026-06-05,5496.6825584564895,54,1,Electronics,Retail
2026-06-06,4515.278560331769,57,0,Home,Online
2026-06-07,3357.9867015306204,46,0,Home,Retail
2026-06-08,3852.210772205514,72,0,Electronics,Retail
2026-06-09,4481.0430844368475,53,1,Sports,Retail
2026-06-10,5863.0034596287,72,0,Beauty,Online
2026-06-11,5005.582768651795,59,1,Sports,Partner
2026-06-12,5030.519668961853,57,0,Sports,Retail
2026-06-13,2690.4225096002156,35,0,Electronics,Partner
2026-06-14,6820.8766852986755,66,0,Beauty,Online
2026-06-15,4002.121576673607,75,0,Home,Partner
2026-06-16,3371.77082069722,41,0,Beauty,Partner
2026-06-17,2041.4474243720765,43,0,Sports,Online
2026-06-18,1500,47,0,Beauty,Online
2026-06-19,4212.045722634986,51,0,Beauty,Partner
2026-06-20,4609.9632100303115,56,0,Home,Partner
2026-06-21,5676.198412655075,60,0,Beauty,Online
2026-06-22,2582.668403581719,60,0,Beauty,Partner
2026-06-23,5010.290715734507,59,0,Electronics,Partner
2026-06-24,2393.78818659813,49,0,Home,Partner
2026-06-25,1992.1382299735055,39,0,Beauty,Partner
2026-06-26,3824.69606343181,61,0,Electronics,Online
2026-06-27,4578.705504226404,50,1,Sports,Retail
2026-06-28,4932.096332921753,69,0,Electronics,Retail
2026-06-29,4872.918985325131,74,0,Electronics,Partner
2026-06-30,3211.0132226486858,58,0,Beauty,Partner
2026-07-01,3448.007250785524,57,0,Electronics,Retail
2026-07-02,2666.571995837232,40,1,Beauty,Online
2026-07-03,2984.8925532682833,43,1,Home,Partner
2026-07-04,4329.849645450645,48,0,Electronics,Retail
2026-07-05,5359.084736130251,44,0,Home,Online
2026-07-06,1500,36,0,Electronics,Online
2026-07-07,3871.1429481604328,51,0,Electronics,Partner
2026-07-08,3035.0495640438626,39,1,Home,Partner
2026-07-09,2284.312886562741,37,0,Beauty,Retail
2026-07-10,1500,36,0,Sports,Partner
2026-07-11,3743.6088279662204,63,1,Home,Online
2026-07-12,2246.4029351803206,43,0,Beauty,Retail
2026-07-13,4652.604801824795,67,1,Electronics,Partner
2026-07-14,6035.611118417206,70,1,Beauty,Retail
2026-07-15,5047.160224111567,60,1,Sports,Retail
2026-07-16,4478.871402511158,51,1,Electronics,Online
2026-07-17,4947.108099731482,62,0,Home,Partner
2026-07-18,2401.6577662189065,38,1,Beauty,Partner
2026-07-19,5326.610078691865,62,0,Beauty,Partner
2026-07-20,3302.2686668982815,54,0,Home,Online
2026-07-21,4834.773914830928,57,0,Beauty,Partner
2026-07-22,5344.788809589982,49,0,Electronics,Partner
2026-07-23,1500,52,0,Beauty,Retail
2026-07-24,3767.7600035766723,57,0,Home,Partner
2026-07-25,6380.294314351623,75,1,Home,Retail
2026-07-26,4794.3180715879225,61,0,Electronics,Online
2026-07-27,3202.4779602047333,44,0,Electronics,Retail
2026-07-28,4379.973544915027,63,0,Electronics,Retail
2026-07-29,3753.0387706686906,62,0,Sports,Partner
2026-07-30,2319.0725980578836,54,1,Beauty,Online
2026-07-31,4258.380190092333,43,0,Electronics,Online
2026-08-01,5910.29468263846,66,0,Beauty,Online
2026-08-02,5979.650636427165,60,1,Electronics,Retail
2026-08-03,2677.7561990082854,39,0,Sports,Retail
2026-08-04,2571.7591285706235,42,0,Home,Partner
2026-08-05,5913.270359659486,64,0,Home,Retail
2026-08-06,4968.05745201908,72,1,Beauty,Partner
2026-08-07,3627.088768120001,56,0,Home,Retail
2026-08-08,4519.038735563982,57,0,Home,Online
2026-08-09,2804.4111869598055,41,0,Electronics,Online
2026-08-10,6506.366702675547,75,0,Sports,Partner
2026-08-11,6347.417083673759,71,0,Beauty,Online
2026-08-12,3584.8021020715646,63,0,Beauty,Retail
2026-08-13,3518.9089061774944,72,0,Electronics,Retail
2026-08-14,3049.858456393729,53,0,Electronics,Partner
2026-08-15,4630.017185844933,73,0,Electronics,Retail
2026-08-16,5962.8184022852065,71,0,Sports,Partner
2026-08-17,2889.1357513589155,44,0,Electronics,Partner
2026-08-18,2992.8562559860293,46,0,Sports,Partner
2026-08-19,4371.654046875612,68,0,Beauty,Partner
2026-08-20,5349.218844416364,73,0,Beauty,Online
2026-08-21,3042.7338813169777,56,0,Home,Retail
2026-08-22,2617.0056991162055,40,1,Beauty,Retail
2026-08-23,3534.1468607048305,60,0,Beauty,Online
2026-08-24,3709.450067341218,68,0,Beauty,Online
2026-08-25,4516.816666772153,58,0,Home,Online
2026-08-26,2438.169418159394,43,0,Electronics,Partner
2026-08-27,6244.524656699099,69,0,Home,Partner
2026-08-28,3479.416274884699,59,1,Home,Partner
